学号,成绩
655,81
656,12
657,12
658,75
659,4
660,61
661,26
662,32
663,81
664,80
665,93
666,76
667,57
668,32
669,76
670,77
671,36
672,14
673,55
674,26
675,19
676,57
677,63
678,60
679,37
680,33
681,15
682,17
683,22
684,25
685,99
686,62
687,32
688,67
689,22
690,6
691,44
692,81
693,66
694,64
695,8
696,81
697,95
698,12
699,94
700,84
701,85
702,25
703,87
704,1
705,61
706,2
707,23
708,82
709,95
710,89
711,24
712,49
713,72
714,93
715,98
716,69
717,47
718,93
719,24
720,82
721,61
722,82
723,45
724,14
725,70
726,17
727,44
728,96
729,93
730,3
731,34
732,91
733,19
734,13
735,46
736,77
737,98
738,56
739,31
740,38
741,27
742,16
743,31
744,26
745,49
746,96
747,94
748,34
749,2
750,43
751,97
752,18
753,63
754,96
755,70
756,34
757,82
758,31
759,48
760,36
761,36
762,2
763,55
764,32
765,48
766,22
767,75
768,20
769,83
770,96
771,7
772,31
773,8
774,70
775,61
776,35
777,44
778,43
779,34
780,11
781,57
782,92
783,66
784,50
785,33
786,38
787,65
788,59
789,74
790,32
791,53
792,25
793,8
794,81
795,55
796,84
797,60
798,63
799,34
800,26
801,9
802,7
803,11
804,5
805,51
806,4
807,4
808,56
809,17
810,69
811,58
812,12
813,79
814,20
815,76
816,25
817,22
818,83
819,13
820,12
821,17
822,51
823,34
824,20
825,16
826,34
827,45
828,42
829,40
830,28
831,18
832,26
833,15
834,90
835,56
836,9
837,45
838,56
839,55
840,34
841,95
842,38
843,40
844,60
845,4
846,23
847,59
848,32
849,18
850,57
851,62
852,56
853,98
854,1
855,6
856,37
857,89
858,15
859,55
860,28
861,59
862,41
863,48
864,65
865,76
866,7
867,16
868,45
869,61
870,54
871,0
872,80
873,18
874,63
875,61
876,5
877,25
878,61
879,7
880,19
881,17
882,35
883,62
884,16
885,46
886,65
887,47
888,64
889,75
890,81
891,79
892,64
893,69
894,65
895,68
896,36
897,76
898,43
899,31
900,58
901,11
902,13
903,20
904,18
905,9
906,25
907,68
908,97
909,45
910,76
911,72
912,33
913,45
914,14
915,53
916,51
917,62
918,57
919,23
920,30
921,19
922,68
923,46
924,97
925,76
926,62
927,19
928,11
929,21
930,93
931,58
932,32
933,98
934,36
935,45
936,85
937,32
938,54
939,39
940,14
941,13
942,39
943,90
944,72
945,34
946,0
947,75
948,14
949,13
950,76
951,47
952,39
953,19
954,15
955,70
956,31
957,92
958,55
959,38
960,19
961,79
962,22
963,63
964,25
965,97
966,72
967,79
968,82
969,38
970,46
971,36
972,38
973,4
974,47
975,38
976,4
977,27
978,92
979,36
980,3
981,46
982,77
983,26
984,77
985,87
986,26
987,78
988,30
989,20
990,19
991,57
992,78
993,70
994,29
995,88
996,50
997,58
998,33
999,46
1000,43
1001,87
1002,48
1003,92
1004,43
1005,34
1006,38
1007,4
1008,52
1009,76
1010,80
1011,26
1012,84
1013,50
1014,62
1015,98
1016,41
1017,71
1018,54
1019,15
1020,73
1021,59
1022,0
1023,82
1024,67
1025,6
1026,51
1027,61
1028,98
1029,63
1030,71
1031,98
1032,44
1033,70
1034,67
1035,11
1036,39
1037,11
1038,57
1039,5
1040,7
1041,54
1042,24
1043,3
1044,8
1045,64
1046,48
1047,78
1048,44
1049,25
1050,28
1051,16
1052,98
1053,82
1054,97
1055,50
1056,28
1057,53
1058,83
1059,53
1060,82
1061,5
1062,29
1063,43
1064,76
1065,0
1066,8
1067,13
1068,7
1069,75
1070,1
1071,73
1072,27
1073,32
1074,52
1075,93
1076,5
1077,81
1078,28
1079,43
1080,29
1081,81
1082,59
1083,74
1084,19
1085,91
1086,73
1087,45
1088,1
1089,74
1090,78
1091,99
1092,32
1093,82
1094,46
1095,27
1096,9
1097,32
1098,27
1099,6
1100,51
1101,94
1102,59
1103,94
1104,91
1105,6
1106,69
1107,25
1108,82
1109,76
1110,58
1111,97
1112,85
1113,42
1114,22
1115,20
1116,17
1117,3
1118,51
1119,52
1120,31
1121,64
1122,25
1123,84
1124,30
1125,100
1126,84
1127,38
1128,51
1129,100
1130,86
1131,87
1132,65
1133,86
1134,61
1135,46
1136,76
1137,55
1138,88
1139,90
1140,87
1141,15
1142,21
1143,57
1144,77
1145,9
1146,40
1147,87
1148,53
1149,26
1150,73
1151,75
1152,42
1153,69
1154,74
1155,81
1156,24
1157,40
1158,74
1159,58
1160,25
1161,85
1162,53
1163,4
1164,96
1165,39
1166,89
1167,89
1168,34
1169,47
1170,71
1171,22
1172,9
1173,12
1174,98
1175,49
1176,12
1177,82
1178,39
1179,1
1180,17
1181,93
1182,33
1183,54
1184,16
1185,12
1186,2
1187,82
1188,62
1189,50
1190,28
1191,18
1192,95
1193,77
1194,57
1195,74
1196,48
1197,80
1198,7
1199,64
1200,52
1201,44
1202,91
1203,40
1204,73
1205,50
1206,7
1207,3
1208,93
1209,63
1210,12
1211,4
1212,64
1213,68
1214,47
1215,53
1216,54
1217,43
1218,13
1219,72
1220,68
1221,52
1222,20
1223,24
1224,81
1225,90
1226,71
1227,55
1228,34
1229,59
1230,92
1231,46
1232,22
1233,58
1234,67
1235,18
1236,94
1237,84
1238,15
1239,20
1240,75
1241,86
1242,92
1243,33
1244,61
1245,49
1246,87
1247,76
1248,100
1249,52
1250,89
1251,74
1252,65
1253,32
1254,36
1255,75
1256,12
1257,20
1258,45
1259,33
1260,40
1261,55
1262,53
1263,21
1264,74
1265,79
1266,40
1267,30
1268,58
1269,14
1270,74
1271,66
1272,9
1273,95
1274,49
1275,40
1276,74
1277,7
1278,40
1279,48
1280,31
1281,53
1282,7
1283,91
1284,41
1285,41
1286,49
1287,67
1288,68
1289,69
1290,38
1291,71
1292,45
1293,78
1294,47
1295,57
1296,33
1297,85
1298,9
1299,47
1300,39
1301,32
1302,3
1303,4
1304,89
1305,60
1306,61
1307,44
1308,13
1309,98
1310,8
1311,79
1312,56
1313,64
1314,8
1315,12
1316,46
1317,89
1318,71
1319,85
1320,38
1321,68
1322,65
1323,80
1324,44
1325,47
1326,59
1327,6
1328,39
1329,48
1330,91
1331,93
1332,3
1333,21
1334,98
1335,34
1336,64
1337,31
1338,68
1339,5
1340,86
1341,80
1342,49
1343,21
1344,74
1345,98
1346,2
1347,9
1348,24
1349,58
1350,39
1351,98
1352,38
1353,24
1354,94
1355,51
1356,28
1357,91
1358,55
1359,90
1360,96
1361,14
1362,75
1363,82
1364,14
1365,54
1366,33
1367,15
1368,58
1369,60
1370,58
1371,1
1372,18
1373,99
1374,7
1375,6
1376,78
1377,8
1378,22
1379,15
1380,6
1381,10
1382,65
1383,95
1384,95
1385,94
1386,6
1387,23
1388,61
1389,70
1390,20
1391,84
1392,41
1393,62
1394,49
1395,15
1396,58
1397,14
1398,33
1399,42
1400,57
1401,16
1402,7
1403,17
1404,50
1405,75
1406,84
1407,72
1408,91
1409,3
1410,84
1411,56
1412,17
1413,3
1414,80
1415,55
1416,54
1417,17
1418,56
1419,92
1420,70
1421,2
1422,88
1423,57
1424,43
1425,7
1426,34
1427,0
1428,58
1429,66
1430,18
1431,9
1432,15
1433,15
1434,71
1435,95
1436,7
1437,31
1438,98
1439,61
1440,89
1441,95
1442,76
1443,30
1444,12
1445,75
1446,13
1447,60
1448,63
1449,8
1450,20
1451,100
1452,10
1453,35
1454,34
1455,45
1456,59
1457,2
1458,43
1459,94
1460,49
1461,54
1462,39
1463,22
1464,50
1465,18
1466,20
1467,75
1468,97
1469,72
1470,79
1471,31
1472,21
1473,74
1474,81
1475,62
1476,13
1477,88
1478,60
1479,93
1480,92
1481,75
1482,84
1483,24
1484,21
1485,67
1486,16
1487,9
1488,81
1489,12
1490,48
1491,81
1492,51
1493,98
1494,85
1495,66
1496,16
1497,44
1498,19
1499,73
1500,12
1501,56
1502,42
1503,19
1504,96
1505,19
1506,89
1507,24
1508,71
1509,92
1510,8
1511,14
1512,27
1513,18
1514,44
1515,96
1516,31
1517,14
1518,86
1519,76
1520,53
1521,45
1522,29
1523,27
1524,93
1525,14
1526,19
1527,42
1528,74
1529,89
1530,36
1531,50
1532,100
1533,86
1534,43
1535,77
1536,28
1537,77
1538,24
1539,11
1540,30
1541,3
1542,79
1543,83
1544,39
1545,9
1546,66
1547,95
1548,42
1549,90
1550,98
1551,18
1552,64
1553,77
1554,33
1555,93
1556,85
1557,20
1558,1
1559,24
1560,84
1561,45
1562,54
1563,63
1564,70
1565,1
1566,2
1567,80
1568,14
1569,61
1570,36
1571,90
1572,3
1573,65
1574,40
1575,55
1576,79
1577,11
1578,96
1579,10
1580,75
1581,91
1582,80
1583,87
1584,15
1585,16
1586,40
1587,55
1588,63
1589,91
1590,66
1591,67
1592,60
1593,64
1594,82
1595,63
1596,52
1597,43
1598,86
1599,53
1600,39
1601,99
1602,16
1603,38
1604,57
1605,25
1606,35
1607,19
1608,90
1609,30
1610,12
1611,88
1612,61
1613,63
1614,40
1615,93
1616,7
1617,4
1618,77
1619,12
1620,8
1621,75
1622,63
1623,83
1624,59
1625,94
1626,6
1627,3
1628,68
1629,79
1630,19
1631,8
1632,99
1633,64
1634,28
1635,61
1636,16
1637,97
1638,13
1639,29
1640,53
1641,39
1642,85
1643,0
1644,82
1645,65
1646,95
1647,51
1648,54
1649,10
1650,76
1651,17
1652,87
1653,99
1654,31
1655,75
1656,35
1657,24
1658,91
1659,50
1660,98
1661,90
1662,50
1663,44
1664,23
1665,55
1666,7
1667,86
1668,31
1669,100
1670,47
1671,83
1672,3
1673,76
1674,1
1675,79
1676,79
1677,34
1678,72
1679,51
1680,78
1681,30
1682,68
1683,61
1684,94
1685,85
1686,34
1687,94
1688,23
1689,79
1690,31
1691,57
1692,30
1693,98
1694,14
1695,32
1696,7
1697,64
1698,73
1699,53
1700,80
1701,6
1702,63
1703,84
1704,49
1705,72
1706,9
1707,52
1708,55
1709,50
1710,81
1711,5
1712,12
1713,24
1714,49
1715,71
1716,64
1717,11
1718,0
1719,0
1720,96
1721,67
1722,77
1723,75
1724,96
1725,29
1726,20
1727,83
1728,35
1729,12
1730,39
1731,16
1732,25
1733,46
1734,84
1735,58
1736,100
1737,80
1738,19
1739,8
1740,41
1741,16
1742,79
1743,9
1744,84
1745,32
1746,81
1747,5
1748,96
1749,59
1750,59
1751,36
1752,99
1753,84
1754,46
1755,75
1756,48
1757,40
1758,5
1759,93
1760,16
1761,25
1762,35
1763,39
1764,48
1765,36
1766,22
1767,57
1768,22
1769,56
1770,64
1771,68
1772,63
1773,60
1774,15
1775,78
1776,7
1777,54
1778,83
1779,44
1780,92
1781,40
1782,53
1783,22
1784,94
1785,58
1786,43
1787,1
1788,91
1789,44
1790,87
1791,40
1792,25
1793,42
1794,67
1795,91
1796,33
1797,11
1798,46
1799,66
1800,87
1801,11
1802,51
1803,21
1804,0
1805,27
1806,59
1807,44
1808,18
1809,95
1810,85
1811,73
1812,75
1813,36
1814,99
1815,52
1816,53
1817,26
1818,10
1819,8
1820,8
1821,60
1822,71
1823,11
1824,48
1825,90
1826,57
1827,73
1828,80
1829,75
1830,55
1831,14
1832,19
1833,96
1834,61
1835,67
1836,79
1837,95
1838,62
1839,62
1840,5
1841,99
1842,57
1843,13
1844,77
1845,66
1846,99
1847,33
1848,80
1849,12
1850,16
1851,100
1852,64
1853,3
1854,68
1855,80
1856,9
1857,97
1858,48
1859,81
1860,70
1861,36
1862,19
1863,85
1864,60
1865,25
1866,90
1867,2
1868,45
1869,28
1870,34
1871,63
1872,51
1873,14
1874,86
1875,35
1876,72
1877,10
1878,11
1879,60
1880,93
1881,8
1882,5
1883,0
1884,37
1885,39
1886,3
1887,0
1888,52
1889,51
1890,11
1891,0
1892,4
1893,19
1894,23
1895,10
1896,12
1897,82
1898,74
1899,81
1900,65
1901,65
1902,83
1903,100
1904,16
1905,81
1906,100
1907,81
1908,69
1909,99
1910,58
1911,74
1912,70
1913,50
1914,68
1915,6
1916,36
1917,45
1918,73
1919,61
1920,59
1921,43
1922,64
1923,94
1924,33
1925,13
1926,53
1927,4
1928,10
1929,65
1930,49
1931,63
1932,69
1933,3
1934,83
1935,14
1936,35
1937,90
1938,33
1939,71
1940,79
1941,52
1942,16
1943,76
1944,39
1945,14
1946,3
1947,78
1948,18
1949,40
1950,6
1951,27
1952,14
1953,49
1954,81
1955,30
1956,36
1957,39
1958,19
1959,69
1960,12
1961,50
1962,95
1963,59
1964,28
1965,58
1966,35
1967,60
1968,52
1969,90
1970,77
1971,4
1972,78
1973,83
1974,83
1975,18
1976,85
1977,25
1978,48
1979,18
1980,1
1981,25
1982,53
1983,48
1984,80
1985,2
1986,69
1987,41
1988,11
1989,64
1990,97
1991,47
1992,84
1993,69
1994,64
1995,49
1996,56
1997,29
1998,57
1999,55
2000,35
2001,89
2002,70
2003,22
2004,25
2005,83
2006,76
2007,24
2008,85
2009,13
2010,43
2011,17
2012,40
2013,14
2014,61
2015,90
2016,64
2017,90
2018,72
2019,42
2020,36
2021,76
2022,94
2023,26
2024,89
2025,30
2026,24
2027,82
2028,8
2029,87
2030,88
2031,71
2032,69
2033,19
2034,9
2035,73
2036,24
2037,23
2038,79
2039,15
2040,16
2041,9
2042,27
2043,5
2044,72
2045,32
2046,83
2047,87
2048,6
2049,90
2050,30
2051,77
2052,86
2053,85
2054,13
2055,47
2056,25
2057,28
2058,72
2059,23
2060,31
2061,26
2062,23
2063,34
2064,0
2065,92
2066,16
2067,83
2068,69
2069,100
2070,15
2071,48
2072,69
2073,43
2074,1
2075,92
2076,40
2077,57
2078,62
2079,36
2080,68
2081,41
2082,93
2083,90
2084,19
2085,80
2086,70
2087,13
2088,26
2089,72
2090,64
2091,48
2092,24
2093,45
2094,84
2095,71
2096,94
2097,43
2098,37
2099,10
2100,1
2101,37
2102,94
2103,33
2104,79
2105,8
2106,6
2107,88
2108,80
2109,97
2110,44
2111,39
2112,39
2113,3
2114,70
2115,9
2116,82
2117,41
2118,12
2119,15
2120,31
2121,83
2122,4
2123,61
2124,68
2125,97
2126,25
2127,41
2128,82
2129,62
2130,14
2131,93
2132,17
2133,7
2134,96
2135,93
2136,14
2137,46
2138,44
2139,4
2140,48
2141,82
2142,22
2143,7
2144,41
2145,3
2146,13
2147,37
2148,0
2149,6
2150,87
2151,43
2152,84
2153,100
2154,25
2155,7
2156,100
2157,33
2158,84
2159,90
2160,68
2161,96
2162,93
2163,12
2164,87
2165,42
2166,77
2167,39
2168,87
2169,53
2170,32
2171,4
2172,41
2173,1
2174,0
2175,33
2176,2
2177,83
2178,30
2179,11
2180,73
2181,3
2182,53
2183,63
2184,98
2185,69
2186,60
2187,54
2188,11
2189,15
2190,37
2191,91
2192,85
2193,75
2194,25
2195,81
2196,23
2197,6
2198,33
2199,48
2200,78
2201,61
2202,82
2203,80
2204,73
2205,82
2206,45
2207,7
2208,15
2209,92
2210,37
2211,38
2212,53
2213,58
2214,24
2215,70
2216,89
2217,45
2218,80
2219,16
2220,91
2221,9
2222,46
2223,78
2224,59
2225,25
2226,23
2227,4
2228,3
2229,30
2230,79
2231,60
2232,58
2233,95
2234,52
2235,27
2236,63
2237,20
2238,86
2239,43
2240,56
2241,19
2242,81
2243,4
2244,0
2245,1
2246,6
2247,37
2248,27
2249,7
2250,10
2251,97
2252,28
2253,53
2254,23
2255,30
2256,87
2257,67
2258,14
2259,8
2260,42
2261,80
2262,13
2263,11
2264,13
2265,87
2266,70
2267,70
2268,92
2269,9
2270,81
2271,86
2272,54
2273,6
2274,20
2275,18
2276,64
2277,43
2278,61
2279,59
2280,73
2281,98
2282,16
2283,4
2284,84
2285,16
2286,71
2287,87
2288,98
2289,82
2290,61
2291,55
2292,74
2293,98
2294,100
2295,71
2296,96
2297,22
2298,73
2299,48
2300,82
2301,6
2302,50
2303,79
2304,48
2305,87
2306,61
2307,61
2308,93
2309,91
2310,23
2311,96
2312,75
2313,89
2314,47
2315,95
2316,86
2317,21
2318,68
2319,13
2320,98
2321,91
2322,13
2323,13
2324,57
2325,6
2326,23
2327,39
2328,16
2329,1
2330,56
2331,71
2332,0
2333,36
2334,14
2335,75
2336,100
2337,50
2338,100
2339,26
2340,34
2341,47
2342,69
2343,6
2344,76
2345,43
2346,87
2347,86
2348,50
2349,94
2350,7
2351,13
2352,72
2353,13
2354,21
2355,69
2356,85
2357,31
2358,48
2359,97
2360,19
2361,50
2362,72
2363,18
2364,72
2365,32
2366,74
2367,86
2368,11
2369,65
2370,46
2371,65
2372,48
2373,78
2374,68
2375,59
2376,61
2377,78
2378,59
2379,90
2380,21
2381,63
2382,54
2383,83
2384,28
2385,93
2386,48
2387,80
2388,12
2389,24
2390,11
2391,53
2392,88
2393,54
2394,91
2395,84
2396,17
2397,100
2398,78
2399,32
2400,17
2401,66
2402,59
2403,72
2404,39
2405,100
2406,66
2407,79
2408,77
2409,6
2410,35
2411,70
2412,24
2413,7
2414,34
2415,87
2416,72
2417,60
2418,85
2419,40
2420,24
2421,54
2422,16
2423,13
2424,73
2425,29
2426,5
2427,18
2428,41
2429,10
2430,97
2431,22
2432,79
2433,45
2434,93
2435,84
2436,10
2437,38
2438,77
2439,62
2440,17
2441,6
2442,8
2443,25
2444,88
2445,7
2446,15
2447,91
2448,20
2449,67
2450,64
2451,49
2452,46
2453,40
2454,22
2455,22
2456,84
2457,77
2458,85
2459,91
2460,61
2461,47
2462,20
2463,24
2464,16
2465,10
2466,89
2467,99
2468,44
2469,5
2470,9
2471,92
2472,84
2473,2
2474,100
2475,57
2476,58
2477,84
2478,4
2479,52
2480,94
2481,45
2482,17
2483,20
2484,89
2485,87
2486,4
2487,75
2488,98
2489,59
2490,83
2491,23
2492,7
2493,81
2494,0
2495,96
2496,4
2497,77
2498,52
2499,84
2500,57
2501,98
2502,69
2503,9
2504,89
2505,73
2506,65
2507,39
2508,17
2509,17
2510,29
2511,17
2512,62
2513,12
2514,85
2515,63
2516,96
2517,47
2518,96
2519,46
2520,15
2521,17
2522,44
2523,43
2524,24
2525,88
2526,9
2527,64
2528,75
2529,33
2530,48
2531,61
2532,61
2533,77
2534,7
2535,79
2536,69
2537,23
2538,25
2539,18
2540,54
2541,86
2542,66
2543,66
2544,64
2545,58
2546,88
2547,98
2548,83
2549,87
2550,5
2551,88
2552,71
2553,0
2554,29
2555,10
2556,25
2557,80
2558,77
2559,86
2560,82
2561,6
2562,46
2563,80
2564,95
2565,46
2566,55
2567,69
2568,72
2569,73
2570,81
2571,24
2572,68
2573,92
2574,29
2575,23
2576,7
2577,48
2578,85
2579,30
2580,60
2581,51
2582,10
2583,68
2584,91
2585,13
2586,34
2587,49
2588,26
2589,87
2590,34
2591,58
2592,44
2593,66
2594,89
2595,83
2596,69
2597,5
2598,17
2599,19
2600,99
2601,87
2602,26
2603,55
2604,6
2605,93
2606,89
2607,81
2608,93
2609,40
2610,73
2611,31
2612,30
2613,57
2614,92
2615,60
2616,7
2617,57
2618,93
2619,20
2620,33
2621,41
2622,49
2623,41
2624,9
2625,35
2626,34
2627,37
2628,8
2629,75
2630,44
2631,13
2632,27
2633,20
2634,64
2635,76
2636,31
2637,98
2638,34
2639,90
2640,76
2641,25
2642,30
2643,47
2644,62
2645,33
2646,13
2647,42
2648,69
2649,81
2650,13
2651,95
2652,94
2653,41
2654,6
2655,54
2656,8
2657,7
2658,22
2659,77
2660,82
2661,99
2662,15
2663,65
2664,29
2665,73
2666,8
2667,51
2668,29
2669,48
2670,37
2671,63
2672,46
2673,10
2674,3
2675,60
2676,76
2677,88
2678,90
2679,63
2680,91
2681,84
2682,53
2683,30
2684,28
2685,59
2686,80
2687,85
2688,7
2689,53
2690,45
2691,95
2692,93
2693,35
2694,11
2695,91
2696,12
2697,3
2698,72
2699,95
2700,49
2701,69
2702,54
2703,32
2704,90
2705,62
2706,42
2707,22
2708,99
2709,96
2710,94
2711,95
2712,5
2713,27
2714,11
2715,22
2716,16
2717,86
2718,25
2719,77
2720,34
2721,35
2722,43
2723,63
2724,49
2725,54
2726,43
2727,94
2728,86
2729,10
2730,17
2731,100
2732,48
2733,75
2734,15
2735,57
2736,20
2737,91
2738,91
2739,8
2740,19
2741,35
2742,18
2743,25
2744,24
2745,46
2746,26
2747,52
2748,75
2749,80
2750,62
2751,3
2752,6
2753,44
2754,69
2755,96
2756,17
2757,45
2758,52
2759,26
2760,80
2761,65
2762,31
2763,51
2764,66
2765,100
2766,20
2767,22
2768,52
2769,30
2770,28
2771,99
2772,32
2773,92
2774,93
2775,6
2776,16
2777,72
2778,64
2779,0
2780,57
2781,63
2782,10
2783,36
2784,41
2785,88
2786,27
2787,3
2788,68
2789,7
2790,71
2791,86
2792,12
2793,68
2794,73
2795,64
2796,46
2797,63
2798,21
2799,93
2800,55
2801,19
2802,48
2803,79
2804,47
2805,45
2806,43
2807,31
2808,46
2809,64
2810,95
2811,3
2812,85
2813,43
2814,95
2815,32
2816,10
2817,15
2818,53
2819,63
2820,62
2821,45
2822,2
2823,92
2824,94
2825,97
2826,10
2827,63
2828,61
2829,23
2830,40
2831,21
2832,62
2833,63
2834,96
2835,46
2836,79
2837,61
2838,52
2839,20
2840,93
2841,32
2842,35
2843,75
2844,30
2845,20
2846,24
2847,48
2848,17
2849,18
2850,85
2851,90
2852,66
2853,55
2854,80
2855,77
2856,30
2857,64
2858,53
2859,91
2860,92
2861,72
2862,30
2863,60
2864,72
2865,44
2866,70
2867,6
2868,53
2869,33
2870,63
2871,46
2872,75
2873,86
2874,11
2875,100
2876,73
2877,4
2878,70
2879,42
2880,30
2881,50
2882,49
2883,11
2884,55
2885,2
2886,76
2887,17
2888,42
2889,10
2890,97
2891,60
2892,23
2893,92
2894,89
2895,49
2896,92
2897,81
2898,30
2899,61
2900,57
2901,46
2902,40
2903,40
2904,10
2905,13
2906,28
2907,97
2908,35
2909,94
2910,72
2911,98
2912,42
2913,89
2914,80
2915,5
2916,28
2917,4
2918,69
2919,48
2920,44
2921,23
2922,69
2923,8
2924,20
2925,77
2926,97
2927,46
2928,50
2929,22
2930,51
2931,6
2932,24
2933,13
2934,39
2935,94
2936,66
2937,83
2938,92
2939,78
2940,89
2941,87
2942,11
2943,93
2944,55
2945,83
2946,72
2947,34
2948,78
2949,79
2950,44
2951,77
2952,21
2953,94
2954,90
2955,1
2956,39
2957,15
2958,27
2959,45
2960,4
2961,97
2962,29
2963,49
2964,91
2965,55
2966,15
2967,44
2968,89
2969,29
2970,42
2971,76
2972,79
2973,24
2974,76
2975,72
2976,17
2977,53
2978,88
2979,81
2980,6
2981,40
2982,52
2983,97
2984,49
2985,66
2986,68
2987,13
2988,51
2989,47
2990,29
2991,56
2992,3
2993,10
2994,68
2995,100
2996,74
2997,27
